西暦,施設名,利用者数
2021,大空山青年の家,256
2021,野外活動センター,3687
2021,野呂山セントラルロッジ,826
2021,市営プール,90170
2021,温水プール,39548
2021,下蒲刈プール,213
2021,川尻温水プール,18943
2021,川尻東プール,1189
2021,音戸プール,767
2021,くらはし温水プール,29775
2021,豊プール,194
2021,松寿苑,NA
2021,蘭島閣美術館,6353
2021,松濤園,7504
2021,蘭島閣美術館別館,509
2021,昆虫の家,878
2021,白雪楼,2405
2021,貝と海藻の家,16
2021,三之瀬御本陣芸術文化館,3457
2021,春蘭荘・松籟亭・煎茶室,166
2021,国民宿舎野呂高原ロッジ(宿泊),2511
2021,野呂山ビジターセンター,21657
2021,野呂山レストハウス,3975
2021,呉市川尻筆づくり資料館,1767
2021,おんど観光文化会館うずしお,41498
2021,くらはし桂浜温泉館,67013
2021,かまがり温泉やすらぎの館,17278
2021,コテージかまがり,5095
2021,かまがり天体観測館,6675
2021,かまがり海と島の工作館,8018
2021,かまがり古代製塩遺跡復元展示館,5955
2021,かまがり古代土器製塩体験施設,4724
2021,グリーンピアせとうち,29028
2021,御手洗休憩所,11692
2021,豊ふるさと学園,NA
2021,御手洗地区文化施設,3082
2021,美術館,23834
2021,入船山記念館,12511
2021,海事歴史科学館（大和ミュージアム）,251164
2020,大空山青年の家,355
2020,野外活動センター,1541
2020,野呂山セントラルロッジ,1553
2020,市営プール,87350
2020,温水プール,32101
2020,下蒲刈プール,285
2020,川尻温水プール,20165
2020,川尻東プール,1422
2020,音戸プール,614
2020,くらはし温水プール,33668
2020,豊プール,200
2020,松寿苑,NA
2020,蘭島閣美術館,9477
2020,松濤園,7567
2020,蘭島閣美術館別館,432
2020,昆虫の家,1186
2020,白雪楼,2368
2020,貝と海藻の家,40
2020,三之瀬御本陣芸術文化館,2728
2020,春蘭荘・松籟亭・煎茶室,190
2020,国民宿舎野呂高原ロッジ(宿泊),3472
2020,野呂山ビジターセンター,30448
2020,野呂山レストハウス,5655
2020,呉市川尻筆づくり資料館,2128
2020,おんど観光文化会館うずしお,41301
2020,くらはし桂浜温泉館,65754
