location_name,latitude,longitude,image_url
"五角の井戸","34.16246","132.83784","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B9_%E4%BA%94%E8%A7%92%E3%81%AE%E4%BA%95%E6%88%B8.png"
"六角の井戸","34.16302","132.83804","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B10_%E5%85%AD%E8%A7%92%E3%81%AE%E4%BA%95%E6%88%B8.png"
"お堀端の散歩道","34.1626","132.83927","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B1_%E6%95%A3%E6%AD%A9%E9%81%93.png"
"和風カサブランカ","34.16199","132.83945","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B2_%E7%99%BD%E3%81%84%E5%AE%B6.png"
"亀の鬼瓦","34.16196","132.84009","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B3_%E4%BA%80%E3%81%AE%E9%AC%BC%E7%93%A6.png"
"控えめなお屋敷","34.16232","132.83977","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B4_%E6%8E%A7%E3%81%88%E3%82%81%E3%81%AA%E5%B1%8B%E6%95%B7.png"
"歩道のインターチェンジ","34.16214","132.83948","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B5_%E6%AD%A9%E9%81%93%E3%81%AEIC.png"
"奥の細道","34.16295","132.83888","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B6_%E5%A5%A5%E3%81%AE%E7%B4%B0%E9%81%93.png"
"鄙びた井戸","34.16216","132.83961","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B7_%E9%84%99%E3%81%B2%E3%82%99%E3%81%9F%E4%BA%95%E6%88%B8.png"
"屋根付きの井戸","34.16173","132.84005","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B8_%E5%B1%8B%E6%A0%B9%E4%BB%98%E3%81%8D%E3%81%AE%E4%BA%95%E6%88%B8.png"
"沖友天満宮","34.16056","132.84049","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B11_%E6%B2%96%E5%8F%8B%E5%A4%A9%E6%BA%80%E5%AE%AE.png"
"天満宮の牛","34.16062","132.84054","https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B12_%E5%A4%A9%E6%BA%80%E5%AE%AE%E3%81%AE%E7%89%9B.png"
