location_name,latitude,longitude,image_url,explanation,tag
五角の井戸,34.16246,132.83784,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B9_%E4%BA%94%E8%A7%92%E3%81%AE%E4%BA%95%E6%88%B8.png,江戸時代に造られた珍しい五角形の井戸。その独特な形状から当時の技術力の高さがうかがえる。現在も水が湧き出し、地域の歴史を伝える貴重な遺構として保存されている。,"温泉, 建築, 神社"
六角の井戸,34.16302,132.83804,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B10_%E5%85%AD%E8%A7%92%E3%81%AE%E4%BA%95%E6%88%B8.png,六角形という珍しい形状の井戸で、江戸時代の職人が高度な技術を駆使して作り上げた。全国的にも類を見ない貴重な遺産で、当時の生活文化や建築技術を垣間見ることができる。,"歴史, 温泉"
お堀端の散歩道,34.1626,132.83927,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B1_%E6%95%A3%E6%AD%A9%E9%81%93.png,かつて城を囲んでいたお堀沿いに整備された美しい散策路。四季折々の景色が楽しめ、特に春には桜が咲き誇り、多くの人々が訪れる。静かな雰囲気の中、歴史を感じながら歩ける。,"グルメ, 自然, 庭園"
和風カサブランカ,34.16199,132.83945,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B2_%E7%99%BD%E3%81%84%E5%AE%B6.png,伝統的な日本建築とモダンデザインを融合させたユニークな建物。シンプルながら洗練された美しさを持ち、和洋折衷の魅力が詰まっている。観光スポットとしても人気の場所。,"神社, 歴史, グルメ"
亀の鬼瓦,34.16196,132.84009,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B3_%E4%BA%80%E3%81%AE%E9%AC%BC%E7%93%A6.png,江戸時代の城郭建築で使われていた鬼瓦の一種で、亀の形をしているのが特徴。亀は長寿や繁栄の象徴とされ、当時の人々の願いが込められていた。現在も保存状態が良い。,"歴史, グルメ"
控えめなお屋敷,34.16232,132.83977,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B4_%E6%8E%A7%E3%81%88%E3%82%81%E3%81%AA%E5%B1%8B%E6%95%B7.png,昔ながらの風情を残すお屋敷。華美ではなく控えめな装飾が特徴で、質素ながらも品のある佇まいが魅力。地域の歴史を感じることができる貴重な建築物の一つ。,"神社, 庭園, 温泉"
歩道のインターチェンジ,34.16214,132.83948,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B5_%E6%AD%A9%E9%81%93%E3%81%AEIC.png,交差する歩道が独特な景観を生み出しているスポット。通行する人々の動きが複雑に交わっている。,"絶景, 歴史"
奥の細道,34.16295,132.83888,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B6_%E5%A5%A5%E3%81%AE%E7%B4%B0%E9%81%93.png,ひっそりとした細道で、歴史を感じながら散策するのに最適な場所。江戸時代からの古道が今も残り、かつて旅人たちが歩いた道を辿ることができる。,"温泉, 絶景, 歴史"
鄙びた井戸,34.16216,132.83961,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B7_%E9%84%99%E3%81%B2%E3%82%99%E3%81%9F%E4%BA%95%E6%88%B8.png,長い年月を経た井戸で、周囲には苔が生え、歴史を感じさせる雰囲気が漂う。かつての生活をしのばせる素朴な佇まいで、訪れる人々に郷愁を誘う。,"グルメ, 絶景"
屋根付きの井戸,34.16173,132.84005,https://api.expolis.cloud/assets/opendata/t/kure/png/islands-sightseeing-1/%E6%B2%96%E5%8F%8B8_%E5%B1%8B%E6%A0%B9%E4%BB%98%E3%81%8D%E3%81%AE%E4%BA%95%E6%88%B8.png,雨や風を防ぐための屋根がついた珍しい井戸。江戸時代から続く構造で、今も清水が湧き出している。地元の人々に長く愛されてきた貴重な水源の一つ。,"神社, 温泉, 庭園"
